County Formatted,County,State Formatted,State
Fremont,FREMONT,Idaho,IDAHO
Gem,GEM,Idaho,IDAHO
Gooding,GOODING,Idaho,IDAHO
Idaho,IDAHO,Idaho,IDAHO
Jefferson,JEFFERSON,Idaho,IDAHO
Jerome,JEROME,Idaho,IDAHO
Kootenai,KOOTENAI,Idaho,IDAHO
Latah,LATAH,Idaho,IDAHO
Lemhi,LEMHI,Idaho,IDAHO
Lewis,LEWIS,Idaho,IDAHO
Lincoln,LINCOLN,Idaho,IDAHO
Madison,MADISON,Idaho,IDAHO
Minidoka,MINIDOKA,Idaho,IDAHO
Nez Perce,NEZPERCE,Idaho,IDAHO
Oneida,ONEIDA,Idaho,IDAHO
Owyhee,OWYHEE,Idaho,IDAHO
Payette,PAYETTE,Idaho,IDAHO
Power,POWER,Idaho,IDAHO
Shoshone,SHOSHONE,Idaho,IDAHO
Teton,TETON,Idaho,IDAHO
Twin Falls,TWINFALLS,Idaho,IDAHO
Valley,VALLEY,Idaho,IDAHO
Washington,WASHINGTON,Idaho,IDAHO
Adams,ADAMS,Illinois,ILLINOIS
Alexander,ALEXANDER,Illinois,ILLINOIS
Bond,BOND,Illinois,ILLINOIS
Boone,BOONE,Illinois,ILLINOIS
Brown,BROWN,Illinois,ILLINOIS
Bureau,BUREAU,Illinois,ILLINOIS
Calhoun,CALHOUN,Illinois,ILLINOIS
Carroll,CARROLL,Illinois,ILLINOIS
Cass,CASS,Illinois,ILLINOIS
Champaign,CHAMPAIGN,Illinois,ILLINOIS
Christian,CHRISTIAN,Illinois,ILLINOIS
Clark,CLARK,Illinois,ILLINOIS
Clay,CLAY,Illinois,ILLINOIS
Clinton,CLINTON,Illinois,ILLINOIS
Coles,COLES,Illinois,ILLINOIS
Cook,COOK,Illinois,ILLINOIS
Crawford,CRAWFORD,Illinois,ILLINOIS
Cumberland,CUMBERLAND,Illinois,ILLINOIS
DeKalb,DEKALB,Illinois,ILLINOIS
De Witt,DEWITT,Illinois,ILLINOIS
Douglas,DOUGLAS,Illinois,ILLINOIS
DuPage,DUPAGE,Illinois,ILLINOIS
Edgar,EDGAR,Illinois,ILLINOIS
Edwards,EDWARDS,Illinois,ILLINOIS
Effingham,EFFINGHAM,Illinois,ILLINOIS
Fayette,FAYETTE,Illinois,ILLINOIS
Ford,FORD,Illinois,ILLINOIS
Franklin,FRANKLIN,Illinois,ILLINOIS
Fulton,FULTON,Illinois,ILLINOIS
Gallatin,GALLATIN,Illinois,ILLINOIS
Greene,GREENE,Illinois,ILLINOIS
Grundy,GRUNDY,Illinois,ILLINOIS
Hamilton,HAMILTON,Illinois,ILLINOIS
Hancock,HANCOCK,Illinois,ILLINOIS
Hardin,HARDIN,Illinois,ILLINOIS
Henderson,HENDERSON,Illinois,ILLINOIS
Henry,HENRY,Illinois,ILLINOIS
Iroquois,IROQUOIS,Illinois,ILLINOIS
Jackson,JACKSON,Illinois,ILLINOIS
Jasper,JASPER,Illinois,ILLINOIS
Jefferson,JEFFERSON,Illinois,ILLINOIS
Jersey,JERSEY,Illinois,ILLINOIS
Jo Daviess,JODAVIESS,Illinois,ILLINOIS
Johnson,JOHNSON,Illinois,ILLINOIS
Kane,KANE,Illinois,ILLINOIS
Kankakee,KANKAKEE,Illinois,ILLINOIS
Kendall,KENDALL,Illinois,ILLINOIS
Knox,KNOX,Illinois,ILLINOIS
Lake,LAKE,Illinois,ILLINOIS
LaSalle,LASALLE,Illinois,ILLINOIS
Lawrence,LAWRENCE,Illinois,ILLINOIS
Lee,LEE,Illinois,ILLINOIS
Livingston,LIVINGSTON,Illinois,ILLINOIS
Logan,LOGAN,Illinois,ILLINOIS
McDonough,MCDONOUGH,Illinois,ILLINOIS
McHenry,MCHENRY,Illinois,ILLINOIS
McLean,MCLEAN,Illinois,ILLINOIS
Macon,MACON,Illinois,ILLINOIS
Macoupin,MACOUPIN,Illinois,ILLINOIS
Madison,MADISON,Illinois,ILLINOIS
Marion,MARION,Illinois,ILLINOIS
Marshall,MARSHALL,Illinois,ILLINOIS
Mason,MASON,Illinois,ILLINOIS
Massac,MASSAC,Illinois,ILLINOIS
Menard,MENARD,Illinois,ILLINOIS
Mercer,MERCER,Illinois,ILLINOIS
Monroe,MONROE,Illinois,ILLINOIS
Montgomery,MONTGOMERY,Illinois,ILLINOIS
Morgan,MORGAN,Illinois,ILLINOIS
Moultrie,MOULTRIE,Illinois,ILLINOIS
Ogle,OGLE,Illinois,ILLINOIS
Peoria,PEORIA,Illinois,ILLINOIS
Perry,PERRY,Illinois,ILLINOIS
Piatt,PIATT,Illinois,ILLINOIS
Pike,PIKE,Illinois,ILLINOIS
Pope,POPE,Illinois,ILLINOIS
Pulaski,PULASKI,Illinois,ILLINOIS
Putnam,PUTNAM,Illinois,ILLINOIS
Randolph,RANDOLPH,Illinois,ILLINOIS
Richland,RICHLAND,Illinois,ILLINOIS
Rock Island,ROCKISLAND,Illinois,ILLINOIS
St. Clair,ST.CLAIR,Illinois,ILLINOIS
Saline,SALINE,Illinois,ILLINOIS
Sangamon,SANGAMON,Illinois,ILLINOIS
Schuyler,SCHUYLER,Illinois,ILLINOIS
Scott,SCOTT,Illinois,ILLINOIS
Shelby,SHELBY,Illinois,ILLINOIS
Stark,STARK,Illinois,ILLINOIS
Stephenson,STEPHENSON,Illinois,ILLINOIS
Tazewell,TAZEWELL,Illinois,ILLINOIS
Union,UNION,Illinois,ILLINOIS
Vermilion,VERMILION,Illinois,ILLINOIS
Wabash,WABASH,Illinois,ILLINOIS
Warren,WARREN,Illinois,ILLINOIS
Washington,WASHINGTON,Illinois,ILLINOIS
Wayne,WAYNE,Illinois,ILLINOIS
White,WHITE,Illinois,ILLINOIS
Whiteside,WHITESIDE,Illinois,ILLINOIS
Will,WILL,Illinois,ILLINOIS
Williamson,WILLIAMSON,Illinois,ILLINOIS
Winnebago,WINNEBAGO,Illinois,ILLINOIS
Woodford,WOODFORD,Illinois,ILLINOIS
Adams,ADAMS,Indiana,INDIANA
Allen,ALLEN,Indiana,INDIANA
Bartholomew,BARTHOLOMEW,Indiana,INDIANA
Benton,BENTON,Indiana,INDIANA
Blackford,BLACKFORD,Indiana,INDIANA
Boone,BOONE,Indiana,INDIANA
Brown,BROWN,Indiana,INDIANA
Carroll,CARROLL,Indiana,INDIANA
Cass,CASS,Indiana,INDIANA
Clark,CLARK,Indiana,INDIANA
Clay,CLAY,Indiana,INDIANA
Clinton,CLINTON,Indiana,INDIANA
Crawford,CRAWFORD,Indiana,INDIANA
Daviess,DAVIESS,Indiana,INDIANA
Dearborn,DEARBORN,Indiana,INDIANA
Decatur,DECATUR,Indiana,INDIANA
DeKalb,DEKALB,Indiana,INDIANA
Delaware,DELAWARE,Indiana,INDIANA
Dubois,DUBOIS,Indiana,INDIANA
Elkhart,ELKHART,Indiana,INDIANA
Fayette,FAYETTE,Indiana,INDIANA
Floyd,FLOYD,Indiana,INDIANA
Fountain,FOUNTAIN,Indiana,INDIANA
Franklin,FRANKLIN,Indiana,INDIANA
Fulton,FULTON,Indiana,INDIANA
Gibson,GIBSON,Indiana,INDIANA
Grant,GRANT,Indiana,INDIANA
Greene,GREENE,Indiana,INDIANA
Hamilton,HAMILTON,Indiana,INDIANA
Hancock,HANCOCK,Indiana,INDIANA
Harrison,HARRISON,Indiana,INDIANA
Hendricks,HENDRICKS,Indiana,INDIANA
Henry,HENRY,Indiana,INDIANA
Howard,HOWARD,Indiana,INDIANA
Huntington,HUNTINGTON,Indiana,INDIANA
Jackson,JACKSON,Indiana,INDIANA
Jasper,JASPER,Indiana,INDIANA
Jay,JAY,Indiana,INDIANA
Jefferson,JEFFERSON,Indiana,INDIANA
Jennings,JENNINGS,Indiana,INDIANA
Johnson,JOHNSON,Indiana,INDIANA
Knox,KNOX,Indiana,INDIANA
Kosciusko,KOSCIUSKO,Indiana,INDIANA
LaGrange,LAGRANGE,Indiana,INDIANA
Lake,LAKE,Indiana,INDIANA
LaPorte,LAPORTE,Indiana,INDIANA
Lawrence,LAWRENCE,Indiana,INDIANA
Madison,MADISON,Indiana,INDIANA
Marion,MARION,Indiana,INDIANA
Marshall,MARSHALL,Indiana,INDIANA
Martin,MARTIN,Indiana,INDIANA
Miami,MIAMI,Indiana,INDIANA
Monroe,MONROE,Indiana,INDIANA
Montgomery,MONTGOMERY,Indiana,INDIANA
Morgan,MORGAN,Indiana,INDIANA
Newton,NEWTON,Indiana,INDIANA
Noble,NOBLE,Indiana,INDIANA
Ohio,OHIO,Indiana,INDIANA
Orange,ORANGE,Indiana,INDIANA
Owen,OWEN,Indiana,INDIANA
Parke,PARKE,Indiana,INDIANA
Perry,PERRY,Indiana,INDIANA
Pike,PIKE,Indiana,INDIANA
Porter,PORTER,Indiana,INDIANA
Posey,POSEY,Indiana,INDIANA
Pulaski,PULASKI,Indiana,INDIANA
Putnam,PUTNAM,Indiana,INDIANA
Randolph,RANDOLPH,Indiana,INDIANA
Ripley,RIPLEY,Indiana,INDIANA
Rush,RUSH,Indiana,INDIANA
St. Joseph,ST.JOSEPH,Indiana,INDIANA
Scott,SCOTT,Indiana,INDIANA
Shelby,SHELBY,Indiana,INDIANA
Spencer,SPENCER,Indiana,INDIANA
Starke,STARKE,Indiana,INDIANA
Steuben,STEUBEN,Indiana,INDIANA
Sullivan,SULLIVAN,Indiana,INDIANA
Switzerland,SWITZERLAND,Indiana,INDIANA
Tippecanoe,TIPPECANOE,Indiana,INDIANA
Tipton,TIPTON,Indiana,INDIANA
Union,UNION,Indiana,INDIANA
Vanderburgh,VANDERBURGH,Indiana,INDIANA
Vermillion,VERMILLION,Indiana,INDIANA
Vigo,VIGO,Indiana,INDIANA
Wabash,WABASH,Indiana,INDIANA
Warren,WARREN,Indiana,INDIANA
Warrick,WARRICK,Indiana,INDIANA
Washington,WASHINGTON,Indiana,INDIANA
Wayne,WAYNE,Indiana,INDIANA
Wells,WELLS,Indiana,INDIANA
White,WHITE,Indiana,INDIANA
Whitley,WHITLEY,Indiana,INDIANA
Adair,ADAIR,Iowa,IOWA
Adams,ADAMS,Iowa,IOWA
Allamakee,ALLAMAKEE,Iowa,IOWA
Appanoose,APPANOOSE,Iowa,IOWA
Audubon,AUDUBON,Iowa,IOWA
Benton,BENTON,Iowa,IOWA
Black Hawk,BLACKHAWK,Iowa,IOWA
Boone,BOONE,Iowa,IOWA
Bremer,BREMER,Iowa,IOWA
Buchanan,BUCHANAN,Iowa,IOWA
Buena Vista,BUENAVISTA,Iowa,IOWA
Butler,BUTLER,Iowa,IOWA
Calhoun,CALHOUN,Iowa,IOWA
Carroll,CARROLL,Iowa,IOWA
Cass,CASS,Iowa,IOWA
Cedar,CEDAR,Iowa,IOWA
Cerro Gordo,CERROGORDO,Iowa,IOWA
Cherokee,CHEROKEE,Iowa,IOWA
Chickasaw,CHICKASAW,Iowa,IOWA
Clarke,CLARKE,Iowa,IOWA
Clay,CLAY,Iowa,IOWA
Clayton,CLAYTON,Iowa,IOWA
Clinton,CLINTON,Iowa,IOWA
Crawford,CRAWFORD,Iowa,IOWA
Dallas,DALLAS,Iowa,IOWA
Davis,DAVIS,Iowa,IOWA
Decatur,DECATUR,Iowa,IOWA
Delaware,DELAWARE,Iowa,IOWA
Des Moines,DESMOINES,Iowa,IOWA
Dickinson,DICKINSON,Iowa,IOWA
Dubuque,DUBUQUE,Iowa,IOWA
Emmet,EMMET,Iowa,IOWA
Fayette,FAYETTE,Iowa,IOWA
Floyd,FLOYD,Iowa,IOWA
Franklin,FRANKLIN,Iowa,IOWA
Fremont,FREMONT,Iowa,IOWA
Greene,GREENE,Iowa,IOWA
Grundy,GRUNDY,Iowa,IOWA
Guthrie,GUTHRIE,Iowa,IOWA
Hamilton,HAMILTON,Iowa,IOWA
Hancock,HANCOCK,Iowa,IOWA
Hardin,HARDIN,Iowa,IOWA
Harrison,HARRISON,Iowa,IOWA
Henry,HENRY,Iowa,IOWA
Howard,HOWARD,Iowa,IOWA
Humboldt,HUMBOLDT,Iowa,IOWA
Ida,IDA,Iowa,IOWA
Iowa,IOWA,Iowa,IOWA
Jackson,JACKSON,Iowa,IOWA
Jasper,JASPER,Iowa,IOWA
Jefferson,JEFFERSON,Iowa,IOWA
Johnson,JOHNSON,Iowa,IOWA
Jones,JONES,Iowa,IOWA
Keokuk,KEOKUK,Iowa,IOWA
Kossuth,KOSSUTH,Iowa,IOWA
Lee,LEE,Iowa,IOWA
Linn,LINN,Iowa,IOWA
Louisa,LOUISA,Iowa,IOWA
Lucas,LUCAS,Iowa,IOWA
Lyon,LYON,Iowa,IOWA
Madison,MADISON,Iowa,IOWA
Mahaska,MAHASKA,Iowa,IOWA
Marion,MARION,Iowa,IOWA
Marshall,MARSHALL,Iowa,IOWA
Mills,MILLS,Iowa,IOWA
Mitchell,MITCHELL,Iowa,IOWA
Monona,MONONA,Iowa,IOWA
Monroe,MONROE,Iowa,IOWA
Montgomery,MONTGOMERY,Iowa,IOWA
Muscatine,MUSCATINE,Iowa,IOWA
O'Brien,O'BRIEN,Iowa,IOWA
Osceola,OSCEOLA,Iowa,IOWA
Page,PAGE,Iowa,IOWA
Palo Alto,PALOALTO,Iowa,IOWA
Plymouth,PLYMOUTH,Iowa,IOWA
Pocahontas,POCAHONTAS,Iowa,IOWA
Polk,POLK,Iowa,IOWA
Pottawattamie,POTTAWATTAMIE,Iowa,IOWA
Poweshiek,POWESHIEK,Iowa,IOWA
Ringgold,RINGGOLD,Iowa,IOWA
Sac,SAC,Iowa,IOWA
Scott,SCOTT,Iowa,IOWA
Shelby,SHELBY,Iowa,IOWA
Sioux,SIOUX,Iowa,IOWA
Story,STORY,Iowa,IOWA
Tama,TAMA,Iowa,IOWA
Taylor,TAYLOR,Iowa,IOWA
Union,UNION,Iowa,IOWA
Van Buren,VANBUREN,Iowa,IOWA
Wapello,WAPELLO,Iowa,IOWA
Warren,WARREN,Iowa,IOWA
Washington,WASHINGTON,Iowa,IOWA
Wayne,WAYNE,Iowa,IOWA
Webster,WEBSTER,Iowa,IOWA
Winnebago,WINNEBAGO,Iowa,IOWA
Winneshiek,WINNESHIEK,Iowa,IOWA
Woodbury,WOODBURY,Iowa,IOWA
Worth,WORTH,Iowa,IOWA
Wright,WRIGHT,Iowa,IOWA
Allen,ALLEN,Kansas,KANSAS
Anderson,ANDERSON,Kansas,KANSAS
Atchison,ATCHISON,Kansas,KANSAS
Barber,BARBER,Kansas,KANSAS
Barton,BARTON,Kansas,KANSAS
Bourbon,BOURBON,Kansas,KANSAS
Brown,BROWN,Kansas,KANSAS
Butler,BUTLER,Kansas,KANSAS
Chase,CHASE,Kansas,KANSAS
Chautauqua,CHAUTAUQUA,Kansas,KANSAS
Cherokee,CHEROKEE,Kansas,KANSAS
Cheyenne,CHEYENNE,Kansas,KANSAS
Clark,CLARK,Kansas,KANSAS
Clay,CLAY,Kansas,KANSAS
Cloud,CLOUD,Kansas,KANSAS
Coffey,COFFEY,Kansas,KANSAS
Comanche,COMANCHE,Kansas,KANSAS
Cowley,COWLEY,Kansas,KANSAS
Crawford,CRAWFORD,Kansas,KANSAS
Decatur,DECATUR,Kansas,KANSAS
Dickinson,DICKINSON,Kansas,KANSAS
Doniphan,DONIPHAN,Kansas,KANSAS
Douglas,DOUGLAS,Kansas,KANSAS
Edwards,EDWARDS,Kansas,KANSAS
Elk,ELK,Kansas,KANSAS
Ellis,ELLIS,Kansas,KANSAS
Ellsworth,ELLSWORTH,Kansas,KANSAS
Finney,FINNEY,Kansas,KANSAS
Ford,FORD,Kansas,KANSAS
Franklin,FRANKLIN,Kansas,KANSAS
Geary,GEARY,Kansas,KANSAS
Gove,GOVE,Kansas,KANSAS
Graham,GRAHAM,Kansas,KANSAS
Grant,GRANT,Kansas,KANSAS
Gray,GRAY,Kansas,KANSAS
Greeley,GREELEY,Kansas,KANSAS
Greenwood,GREENWOOD,Kansas,KANSAS
Hamilton,HAMILTON,Kansas,KANSAS
Harper,HARPER,Kansas,KANSAS
Harvey,HARVEY,Kansas,KANSAS
Haskell,HASKELL,Kansas,KANSAS
Hodgeman,HODGEMAN,Kansas,KANSAS
Jackson,JACKSON,Kansas,KANSAS
Jefferson,JEFFERSON,Kansas,KANSAS
Jewell,JEWELL,Kansas,KANSAS
Johnson,JOHNSON,Kansas,KANSAS
Kearny,KEARNY,Kansas,KANSAS
Kingman,KINGMAN,Kansas,KANSAS
Kiowa,KIOWA,Kansas,KANSAS
Labette,LABETTE,Kansas,KANSAS
Lane,LANE,Kansas,KANSAS
Leavenworth,LEAVENWORTH,Kansas,KANSAS
Lincoln,LINCOLN,Kansas,KANSAS
Linn,LINN,Kansas,KANSAS
Logan,LOGAN,Kansas,KANSAS
Lyon,LYON,Kansas,KANSAS
McPherson,MCPHERSON,Kansas,KANSAS
Marion,MARION,Kansas,KANSAS
Marshall,MARSHALL,Kansas,KANSAS
Meade,MEADE,Kansas,KANSAS
Miami,MIAMI,Kansas,KANSAS
Mitchell,MITCHELL,Kansas,KANSAS
Montgomery,MONTGOMERY,Kansas,KANSAS
Morris,MORRIS,Kansas,KANSAS
Morton,MORTON,Kansas,KANSAS
Nemaha,NEMAHA,Kansas,KANSAS
Neosho,NEOSHO,Kansas,KANSAS
Ness,NESS,Kansas,KANSAS
Norton,NORTON,Kansas,KANSAS
Osage,OSAGE,Kansas,KANSAS
Osborne,OSBORNE,Kansas,KANSAS
Ottawa,OTTAWA,Kansas,KANSAS
Pawnee,PAWNEE,Kansas,KANSAS
Phillips,PHILLIPS,Kansas,KANSAS
Pottawatomie,POTTAWATOMIE,Kansas,KANSAS
Pratt,PRATT,Kansas,KANSAS
Rawlins,RAWLINS,Kansas,KANSAS
Reno,RENO,Kansas,KANSAS
Republic,REPUBLIC,Kansas,KANSAS
Rice,RICE,Kansas,KANSAS
Riley,RILEY,Kansas,KANSAS
Rooks,ROOKS,Kansas,KANSAS
Rush,RUSH,Kansas,KANSAS
Russell,RUSSELL,Kansas,KANSAS
Saline,SALINE,Kansas,KANSAS
Scott,SCOTT,Kansas,KANSAS
Sedgwick,SEDGWICK,Kansas,KANSAS
Seward,SEWARD,Kansas,KANSAS
Shawnee,SHAWNEE,Kansas,KANSAS
Sheridan,SHERIDAN,Kansas,KANSAS
Sherman,SHERMAN,Kansas,KANSAS
Smith,SMITH,Kansas,KANSAS
Stafford,STAFFORD,Kansas,KANSAS
Stanton,STANTON,Kansas,KANSAS
Stevens,STEVENS,Kansas,KANSAS
Sumner,SUMNER,Kansas,KANSAS
Thomas,THOMAS,Kansas,KANSAS
Trego,TREGO,Kansas,KANSAS
Wabaunsee,WABAUNSEE,Kansas,KANSAS
Wallace,WALLACE,Kansas,KANSAS
Washington,WASHINGTON,Kansas,KANSAS
Wichita,WICHITA,Kansas,KANSAS
Wilson,WILSON,Kansas,KANSAS
Woodson,WOODSON,Kansas,KANSAS
Wyandotte,WYANDOTTE,Kansas,KANSAS
Adair,ADAIR,Kentucky,KENTUCKY
Allen,ALLEN,Kentucky,KENTUCKY
Anderson,ANDERSON,Kentucky,KENTUCKY
Ballard,BALLARD,Kentucky,KENTUCKY
Barren,BARREN,Kentucky,KENTUCKY
Bath,BATH,Kentucky,KENTUCKY
Bell,BELL,Kentucky,KENTUCKY
Boone,BOONE,Kentucky,KENTUCKY
Bourbon,BOURBON,Kentucky,KENTUCKY
Boyd,BOYD,Kentucky,KENTUCKY
Boyle,BOYLE,Kentucky,KENTUCKY
Bracken,BRACKEN,Kentucky,KENTUCKY
Breathitt,BREATHITT,Kentucky,KENTUCKY
Breckinridge,BRECKINRIDGE,Kentucky,KENTUCKY
Bullitt,BULLITT,Kentucky,KENTUCKY
Butler,BUTLER,Kentucky,KENTUCKY
Caldwell,CALDWELL,Kentucky,KENTUCKY
Calloway,CALLOWAY,Kentucky,KENTUCKY
Campbell,CAMPBELL,Kentucky,KENTUCKY
Carlisle,CARLISLE,Kentucky,KENTUCKY
Carroll,CARROLL,Kentucky,KENTUCKY
Carter,CARTER,Kentucky,KENTUCKY
Casey,CASEY,Kentucky,KENTUCKY
Christian,CHRISTIAN,Kentucky,KENTUCKY
Clark,CLARK,Kentucky,KENTUCKY
Clay,CLAY,Kentucky,KENTUCKY
Clinton,CLINTON,Kentucky,KENTUCKY
Crittenden,CRITTENDEN,Kentucky,KENTUCKY
Cumberland,CUMBERLAND,Kentucky,KENTUCKY
Daviess,DAVIESS,Kentucky,KENTUCKY
Edmonson,EDMONSON,Kentucky,KENTUCKY
Elliott,ELLIOTT,Kentucky,KENTUCKY
Estill,ESTILL,Kentucky,KENTUCKY
Fayette,FAYETTE,Kentucky,KENTUCKY
Fleming,FLEMING,Kentucky,KENTUCKY
Floyd,FLOYD,Kentucky,KENTUCKY
Franklin,FRANKLIN,Kentucky,KENTUCKY
Fulton,FULTON,Kentucky,KENTUCKY
Gallatin,GALLATIN,Kentucky,KENTUCKY
Garrard,GARRARD,Kentucky,KENTUCKY
Grant,GRANT,Kentucky,KENTUCKY
Graves,GRAVES,Kentucky,KENTUCKY
Grayson,GRAYSON,Kentucky,KENTUCKY
Green,GREEN,Kentucky,KENTUCKY
Greenup,GREENUP,Kentucky,KENTUCKY
Hancock,HANCOCK,Kentucky,KENTUCKY
Hardin,HARDIN,Kentucky,KENTUCKY
Harlan,HARLAN,Kentucky,KENTUCKY
Harrison,HARRISON,Kentucky,KENTUCKY
Hart,HART,Kentucky,KENTUCKY
Henderson,HENDERSON,Kentucky,KENTUCKY
Henry,HENRY,Kentucky,KENTUCKY
Hickman,HICKMAN,Kentucky,KENTUCKY
Hopkins,HOPKINS,Kentucky,KENTUCKY
Jackson,JACKSON,Kentucky,KENTUCKY
Jefferson,JEFFERSON,Kentucky,KENTUCKY
Jessamine,JESSAMINE,Kentucky,KENTUCKY
Johnson,JOHNSON,Kentucky,KENTUCKY
Kenton,KENTON,Kentucky,KENTUCKY
Knott,KNOTT,Kentucky,KENTUCKY
Knox,KNOX,Kentucky,KENTUCKY
Larue,LARUE,Kentucky,KENTUCKY
Laurel,LAUREL,Kentucky,KENTUCKY
Lawrence,LAWRENCE,Kentucky,KENTUCKY
Lee,LEE,Kentucky,KENTUCKY
Leslie,LESLIE,Kentucky,KENTUCKY
Letcher,LETCHER,Kentucky,KENTUCKY
Lewis,LEWIS,Kentucky,KENTUCKY
Lincoln,LINCOLN,Kentucky,KENTUCKY
Livingston,LIVINGSTON,Kentucky,KENTUCKY
Logan,LOGAN,Kentucky,KENTUCKY
Lyon,LYON,Kentucky,KENTUCKY
McCracken,MCCRACKEN,Kentucky,KENTUCKY
McCreary,MCCREARY,Kentucky,KENTUCKY
McLean,MCLEAN,Kentucky,KENTUCKY
Madison,MADISON,Kentucky,KENTUCKY
Magoffin,MAGOFFIN,Kentucky,KENTUCKY
Marion,MARION,Kentucky,KENTUCKY
Marshall,MARSHALL,Kentucky,KENTUCKY
Martin,MARTIN,Kentucky,KENTUCKY
Mason,MASON,Kentucky,KENTUCKY
Meade,MEADE,Kentucky,KENTUCKY
Menifee,MENIFEE,Kentucky,KENTUCKY
Mercer,MERCER,Kentucky,KENTUCKY
Metcalfe,METCALFE,Kentucky,KENTUCKY
Monroe,MONROE,Kentucky,KENTUCKY
Montgomery,MONTGOMERY,Kentucky,KENTUCKY
Morgan,MORGAN,Kentucky,KENTUCKY
Muhlenberg,MUHLENBERG,Kentucky,KENTUCKY
Nelson,NELSON,Kentucky,KENTUCKY
Nicholas,NICHOLAS,Kentucky,KENTUCKY
Ohio,OHIO,Kentucky,KENTUCKY
Oldham,OLDHAM,Kentucky,KENTUCKY
Owen,OWEN,Kentucky,KENTUCKY
Owsley,OWSLEY,Kentucky,KENTUCKY
Pendleton,PENDLETON,Kentucky,KENTUCKY
Perry,PERRY,Kentucky,KENTUCKY
Pike,PIKE,Kentucky,KENTUCKY
Powell,POWELL,Kentucky,KENTUCKY
Pulaski,PULASKI,Kentucky,KENTUCKY
Robertson,ROBERTSON,Kentucky,KENTUCKY
Rockcastle,ROCKCASTLE,Kentucky,KENTUCKY
Rowan,ROWAN,Kentucky,KENTUCKY
Russell,RUSSELL,Kentucky,KENTUCKY
Scott,SCOTT,Kentucky,KENTUCKY
Shelby,SHELBY,Kentucky,KENTUCKY
Simpson,SIMPSON,Kentucky,KENTUCKY
Spencer,SPENCER,Kentucky,KENTUCKY
Taylor,TAYLOR,Kentucky,KENTUCKY
Todd,TODD,Kentucky,KENTUCKY
Trigg,TRIGG,Kentucky,KENTUCKY
Trimble,TRIMBLE,Kentucky,KENTUCKY
Union,UNION,Kentucky,KENTUCKY
Warren,WARREN,Kentucky,KENTUCKY
Washington,WASHINGTON,Kentucky,KENTUCKY
Wayne,WAYNE,Kentucky,KENTUCKY
Webster,WEBSTER,Kentucky,KENTUCKY
Whitley,WHITLEY,Kentucky,KENTUCKY
Wolfe,WOLFE,Kentucky,KENTUCKY
Woodford,WOODFORD,Kentucky,KENTUCKY
Acadia Parish,ACADIAPARISH,Louisiana,LOUISIANA
Allen Parish,ALLENPARISH,Louisiana,LOUISIANA
Ascension Parish,ASCENSIONPARISH,Louisiana,LOUISIANA
Assumption Parish,ASSUMPTIONPARISH,Louisiana,LOUISIANA
Avoyelles Parish,AVOYELLESPARISH,Louisiana,LOUISIANA
Beauregard Parish,BEAUREGARDPARISH,Louisiana,LOUISIANA
Bienville Parish,BIENVILLEPARISH,Louisiana,LOUISIANA
Bossier Parish,BOSSIERPARISH,Louisiana,LOUISIANA
Caddo Parish,CADDOPARISH,Louisiana,LOUISIANA
Calcasieu Parish,CALCASIEUPARISH,Louisiana,LOUISIANA
Caldwell Parish,CALDWELLPARISH,Louisiana,LOUISIANA
Cameron Parish,CAMERONPARISH,Louisiana,LOUISIANA
Catahoula Parish,CATAHOULAPARISH,Louisiana,LOUISIANA
Claiborne Parish,CLAIBORNEPARISH,Louisiana,LOUISIANA
Concordia Parish,CONCORDIAPARISH,Louisiana,LOUISIANA
De Soto Parish,DESOTOPARISH,Louisiana,LOUISIANA
East Baton Rouge Parish,EASTBATONROUGEPARISH,Louisiana,LOUISIANA
East Carroll Parish,EASTCARROLLPARISH,Louisiana,LOUISIANA
East Feliciana Parish,EASTFELICIANAPARISH,Louisiana,LOUISIANA
Evangeline Parish,EVANGELINEPARISH,Louisiana,LOUISIANA
Franklin Parish,FRANKLINPARISH,Louisiana,LOUISIANA
Grant Parish,GRANTPARISH,Louisiana,LOUISIANA
Iberia Parish,IBERIAPARISH,Louisiana,LOUISIANA
Iberville Parish,IBERVILLEPARISH,Louisiana,LOUISIANA
Jackson Parish,JACKSONPARISH,Louisiana,LOUISIANA
Jefferson Parish,JEFFERSONPARISH,Louisiana,LOUISIANA
Jefferson Davis Parish,JEFFERSONDAVISPARISH,Louisiana,LOUISIANA
Lafayette Parish,LAFAYETTEPARISH,Louisiana,LOUISIANA
Lafourche Parish,LAFOURCHEPARISH,Louisiana,LOUISIANA
La Salle Parish,LASALLEPARISH,Louisiana,LOUISIANA
Lincoln Parish,LINCOLNPARISH,Louisiana,LOUISIANA
Livingston Parish,LIVINGSTONPARISH,Louisiana,LOUISIANA
Madison Parish,MADISONPARISH,Louisiana,LOUISIANA
Morehouse Parish,MOREHOUSEPARISH,Louisiana,LOUISIANA
Natchitoches Parish,NATCHITOCHESPARISH,Louisiana,LOUISIANA
Orleans Parish,ORLEANSPARISH,Louisiana,LOUISIANA
Ouachita Parish,OUACHITAPARISH,Louisiana,LOUISIANA
Plaquemines Parish,PLAQUEMINESPARISH,Louisiana,LOUISIANA
Pointe Coupee Parish,POINTECOUPEEPARISH,Louisiana,LOUISIANA
Rapides Parish,RAPIDESPARISH,Louisiana,LOUISIANA
Red River Parish,REDRIVERPARISH,Louisiana,LOUISIANA
