"PROVIDER","NEW_PROV","STATUS17","SHORTNAME","PNAME","PCITY","PSTATE","PZIP","HSA","HSANAME","HRR","HRRNAME","FCOUNTY","FCNTYNAME","POSbeds","SYSNAME","AHAbeds","CATEGORY","TEACHSTATUS","HOSPTYPE","NCI_CENTER","EXCL_FLAG","ICU_FLAG"
"100243","100243","9.OK?","Brandon Regional Hospital","BRANDON REGIONAL HOSPITAL","BRANDON","FL","33511",10013,"FL- BRANDON",141,"FL- TAMPA","12057","FL-Hillsborough County",373,"HCA Healthcare",407,,,"4.Other acute care hosp",,"9.OK?",
"100244","100244","9.OK?","Cape Coral Hospital","CAPE CORAL HOSPITAL","CAPE CORAL","FL","33990",10016,"FL- CAPE CORAL",119,"FL- FORT MYERS","12071","FL-Lee County",291,"Lee Health",291,,,"4.Other acute care hosp",,"9.OK?",
"100246","100246","9.OK?","Lawnwood Regional Medical Center","LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE","FORT PIERCE","FL","34950",10038,"FL- FORT PIERCE",130,"FL- ORLANDO","12111","FL-St. Lucie County",312,"HCA Healthcare",331,,,"4.Other acute care hosp",,"9.OK?",
"100248","100248","9.OK?","Largo Medical Center","LARGO MEDICAL CENTER","LARGO","FL","33770",10062,"FL- LARGO",116,"FL- CLEARWATER","12103","FL-Pinellas County",348,"HCA Healthcare",243,,,"4.Other acute care hosp",,"9.OK?",
"100249","100249","9.OK?","Seven Rivers Regional Med Ctr","BAYFRONT HEALTH SEVEN RIVERS","CRYSTAL RIVER","FL","34428",10025,"FL- CRYSTAL RIVER",129,"FL- OCALA","12017","FL-Citrus County",112,"Community Health Systems, Inc.",128,,,"4.Other acute care hosp",,"9.OK?",
"100252","100252","9.OK?","Raulerson Hospital","RAULERSON HOSPITAL","OKEECHOBEE","FL","34972",10084,"FL- OKEECHOBEE",130,"FL- ORLANDO","12093","FL-Okeechobee County",100,"HCA Healthcare",100,,,"4.Other acute care hosp",,"9.OK?",
"100253","100253","9.OK?","Jupiter Medical Center","JUPITER MEDICAL CENTER","JUPITER","FL","33458",10054,"FL- JUPITER",118,"FL- FORT LAUDERDALE","12099","FL-Palm Beach County",163,,207,,,"4.Other acute care hosp",,"9.OK?",
"100254","100254","9.OK?","Capital Regional Medical Center","CAPITAL REGIONAL MEDICAL CENTER","TALLAHASSEE","FL","32308",10119,"FL- TALLAHASSEE",140,"FL- TALLAHASSEE","12073","FL-Leon County",222,"HCA Healthcare",198,,,"4.Other acute care hosp",,"9.OK?",
"100255","100255","9.OK?","Tampa Community Hospital","TAMPA COMMUNITY HOSPITAL  A CAMPUS OF MEMORIAL HOS","TAMPA","FL","33615",10121,"FL- TAMPA",141,"FL- TAMPA","12057","FL-Hillsborough County",181,"HCA Healthcare",201,,,"4.Other acute care hosp",,"9.OK?",
"100256","100256","9.OK?","Regional Med Ctr-Bayonet Point","REGIONAL MEDICAL CENTER BAYONET POINT","HUDSON","FL","34667",10048,"FL- HUDSON",122,"FL- HUDSON","12101","FL-Pasco County",290,"HCA Healthcare",290,,,"4.Other acute care hosp",,"9.OK?",
"100258","100258","9.OK?","Delray Medical Center","DELRAY MEDICAL CENTER","DELRAY BEACH","FL","33484",10030,"FL- DELRAY BEACH",118,"FL- FORT LAUDERDALE","12099","FL-Palm Beach County",350,"TENET Healthcare Corporation",536,,,"4.Other acute care hosp",,"9.OK?",
"100259","100259","9.OK?","South Bay Hospital","SOUTH BAY HOSPITAL","SUN CITY CENTER","FL","33573",10118,"FL- SUN CITY CENTER",141,"FL- TAMPA","12057","FL-Hillsborough County",112,"HCA Healthcare",138,,,"4.Other acute care hosp",,"9.OK?",
"100260","100260","9.OK?","St. Lucie Medical Center","ST LUCIE MEDICAL CENTER","PORT SAINT LUCIE","FL","34952",10101,"FL- PORT ST LUCIE",118,"FL- FORT LAUDERDALE","12111","FL-St. Lucie County",207,"HCA Healthcare",194,,,"4.Other acute care hosp",,"9.OK?",
"100264","100264","9.OK?","Oak Hill Hospital","OAK HILL HOSPITAL","BROOKSVILLE","FL","34613",10112,"FL- SPRING HILL",122,"FL- HUDSON","12053","FL-Hernando County",262,"HCA Healthcare",280,,,"4.Other acute care hosp",,"9.OK?",
"100265","100265","9.OK?","Mease Countryside Hospital","MEASE COUNTRYSIDE HOSPITAL","SAFETY HARBOR","FL","34695",10105,"FL- SAFETY HARBOR",116,"FL- CLEARWATER","12103","FL-Pinellas County",300,"Trinity Health",311,,,"4.Other acute care hosp",,"9.OK?",
"100266","100266","9.OK?","Gulf Breeze Hospital","GULF BREEZE HOSPITAL","GULF BREEZE","FL","32561",10043,"FL- GULF BREEZE",134,"FL- PENSACOLA","12113","FL-Santa Rosa County",77,"Baptist Health Care Corporation",65,,,"4.Other acute care hosp",,"9.OK?",
"100267","100267","9.OK?","Englewood Community Hospital","ENGLEWOOD COMMUNITY HOSPITAL","ENGLEWOOD","FL","34223",10033,"FL- ENGLEWOOD",137,"FL- SARASOTA","12115","FL-Sarasota County",100,"HCA Healthcare",100,,,"4.Other acute care hosp",,"9.OK?",
"100268","100268","9.OK?","West Boca Medical Center","WEST BOCA MEDICAL CENTER","BOCA RATON","FL","33428",10009,"FL- BOCA RATON",118,"FL- FORT LAUDERDALE","12099","FL-Palm Beach County",195,"TENET Healthcare Corporation",195,,,"4.Other acute care hosp",,"9.OK?",
"100269","100269","9.OK?","Palms West Hospital","PALMS WEST HOSPITAL","LOXAHATCHEE","FL","33470",10128,"FL- WEST PALM BEACH",118,"FL- FORT LAUDERDALE","12099","FL-Palm Beach County",204,"HCA Healthcare",204,,,"4.Other acute care hosp",,"9.OK?",
"100271","100271","9.OK?","H. Lee Moffitt Cancer Center","H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE I","TAMPA","FL","33612",10121,"FL- TAMPA",141,"FL- TAMPA","12057","FL-Hillsborough County",206,,206,,,"4.Other acute care hosp","1.NCI-CCC","9.OK?",
"100275","100275","9.OK?","Wellington Regional Med Ctr","WELLINGTON REGIONAL MEDICAL CENTER LLC","WELLINGTON","FL","33414",10128,"FL- WEST PALM BEACH",118,"FL- FORT LAUDERDALE","12099","FL-Palm Beach County",233,"Universal Health Services, Inc.",233,,,"4.Other acute care hosp",,"9.OK?",
"100276","100276","9.OK?","Broward Health Coral Springs","BROWARD HEALTH CORAL SPRINGS","CORAL SPRINGS","FL","33065",10023,"FL- CORAL SPRINGS",118,"FL- FORT LAUDERDALE","12011","FL-Broward County",200,"Broward Health",196,,,"4.Other acute care hosp",,"9.OK?",
"100277","100277","9.OK?","Miami Jewish Home & Hosp For Aged","DOUGLAS GARDENS HOSPITAL","MIAMI","FL","33137",10074,"FL- MIAMI",127,"FL- MIAMI","12086","FL-Miami-Dade County",32,,32,,,"4.Other acute care hosp",,"9.OK?","noICUdays"
"100281","100281","9.OK?","Memorial Hospital West","MEMORIAL HOSPITAL WEST","PEMBROKE PINES","FL","33028",10092,"FL- PEMBROKE PINES",127,"FL- MIAMI","12011","FL-Broward County",384,"Memorial Healthcare System",382,,,"4.Other acute care hosp",,"9.OK?",
"100284","100284","9.OK?","Westchester General Hospital","WESTCHESTER GENERAL HOSPITAL","MIAMI","FL","33155",10074,"FL- MIAMI",127,"FL- MIAMI","12086","FL-Miami-Dade County",98,,125,,,"4.Other acute care hosp",,"9.OK?",
"100285","100285","9.OK?","Memorial Hospital Miramar","MEMORIAL HOSPITAL MIRAMAR","MIRAMAR","FL","33029",10092,"FL- PEMBROKE PINES",127,"FL- MIAMI","12011","FL-Broward County",178,"Memorial Healthcare System",178,,,"4.Other acute care hosp",,"9.OK?",
"100286","100286","9.OK?","Physicians Reg Med Ctr-Pine Ridge","PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE","NAPLES","FL","34119",10077,"FL- NAPLES",119,"FL- FORT MYERS","12021","FL-Collier County",201,"Community Health Systems, Inc.",201,,,"4.Other acute care hosp",,"9.OK?",
"100287","100287","9.OK?","Good Samaritan Medical Center","GOOD SAMARITAN MEDICAL CENTER","WEST PALM BEACH","FL","33401",10128,"FL- WEST PALM BEACH",118,"FL- FORT LAUDERDALE","12099","FL-Palm Beach County",333,"TENET Healthcare Corporation",174,,,"4.Other acute care hosp",,"9.OK?",
"100288","100288","9.OK?","St. Mary's Medical Center","ST MARY'S MEDICAL CENTER","WEST PALM BEACH","FL","33407",10128,"FL- WEST PALM BEACH",118,"FL- FORT LAUDERDALE","12099","FL-Palm Beach County",374,"TENET Healthcare Corporation",464,,,"4.Other acute care hosp",,"9.OK?",
"100289","100289","9.OK?","Cleveland Clinic Florida","CLEVELAND CLINIC HOSPITAL","WESTON","FL","33331",10092,"FL- PEMBROKE PINES",127,"FL- MIAMI","12011","FL-Broward County",155,"Cleveland Clinic Health System",155,,,"4.Other acute care hosp",,"9.OK?",
"100290","100290","9.OK?","The Villages Regional Hospital","VILLAGES REGIONAL HOSPITAL, THE","THE VILLAGES","FL","32159",10063,"FL- LEESBURG",130,"FL- ORLANDO","12119","FL-Sumter County",203,"Central Florida Health",297,,,"4.Other acute care hosp",,"9.OK?",
"100291","100291","9.OK?","Wuesthoff Med Ctr - Melbourne","STEWARD MELBOURNE HOSPITAL","MELBOURNE","FL","32935",10073,"FL- MELBOURNE",130,"FL- ORLANDO","12009","FL-Brevard County",119,"Steward Health Care System, LLC",119,,,"4.Other acute care hosp",,"9.OK?",
"100292","100292","9.OK?","Sacred Heart Hosp-Emerald Coast","SACRED HEART HOSPITAL ON THE EMERALD COAST","MIRAMAR BEACH","FL","32550",10031,"FL- DESTIN",134,"FL- PENSACOLA","12131","FL-Walton County",58,"Ascension Healthcare",58,,,"4.Other acute care hosp",,"9.OK?",
"100296","100296","9.OK?","Doctors Hospital-Coral Gables","DOCTORS HOSPITAL","CORAL GABLES","FL","33146",10022,"FL- CORAL GABLES",127,"FL- MIAMI","12086","FL-Miami-Dade County",281,"Baptist Health South Florida",126,,,"4.Other acute care hosp",,"9.OK?",
"100299","100299","9.OK?","Lakewood Ranch Medical Center","LAKEWOOD RANCH MEDICAL CENTER","BRADENTON","FL","34202",10012,"FL- BRADENTON",115,"FL- BRADENTON","12081","FL-Manatee County",120,"Universal Health Services, Inc.",120,,,"4.Other acute care hosp",,"9.OK?",
"100302","100302","9.OK?","St. Cloud Regional Med Ctr","ST CLOUD REGIONAL MEDICAL CENTER","SAINT CLOUD","FL","34769",10114,"FL- ST CLOUD",130,"FL- ORLANDO","12097","FL-Osceola County",84,"Community Health Systems, Inc.",84,,,"4.Other acute care hosp",,"9.OK?",
"100307","100307","9.OK?","St. Vincent's Med Ctr Southside","ST VINCENT'S MEDICAL CENTER SOUTHSIDE","JACKSONVILLE","FL","32216",10050,"FL- JACKSONVILLE",123,"FL- JACKSONVILLE","12031","FL-Duval County",311,"Ascension Healthcare",289,,,"4.Other acute care hosp",,"9.OK?",
"100313","100313","9.OK?","Sacred Heart Hospital On The Gulf","SACRED HEART HOSPITAL ON THE GULF","PORT SAINT JOE","FL","32456",10100,"FL- PORT ST JOE",133,"FL- PANAMA CITY","12045","FL-Gulf County",19,"Ascension Healthcare",19,,,"4.Other acute care hosp",,"9.OK?",
"100314","100314","9.OK?","West Kendall Baptist Hospital","WEST KENDALL BAPTIST HOSPITAL","MIAMI","FL","33196",10074,"FL- MIAMI",127,"FL- MIAMI","12086","FL-Miami-Dade County",133,"Baptist Health South Florida",133,,,"4.Other acute care hosp",,"9.OK?",
"100315","100315","9.OK?","Health First Viera Hospital","VIERA HOSPITAL","MELBOURNE","FL","32940",10073,"FL- MELBOURNE",130,"FL- ORLANDO","12009","FL-Brevard County",84,"Health First, Inc.",84,,,"4.Other acute care hosp",,"9.OK?",
"100316","100316","9.OK?","Health First Palm Bay Hospital","PALM BAY HOSPITAL","PALM BAY","FL","32907",10073,"FL- MELBOURNE",130,"FL- ORLANDO","12009","FL-Brevard County",134,"Health First, Inc.",138,,,"4.Other acute care hosp",,"9.OK?",
"100319","100319","9.OK?","Florida Hospital Wesley Chapel","FLORIDA HOSPITAL WESLEY CHAPEL","WESLEY CHAPEL","FL","33544",10121,"FL- TAMPA",141,"FL- TAMPA","12101","FL-Pasco County",83,"Adventist Health System Sunbelt Health Care Corporation",145,,,"4.Other acute care hosp",,"9.OK?",
"100320","100320","9.OK?","Poinciana Medical Center","POINCIANA MEDICAL CENTER","KISSIMMEE","FL","34758",10056,"FL- KISSIMMEE",130,"FL- ORLANDO","12097","FL-Osceola County",30,"HCA Healthcare",24,,,"4.Other acute care hosp",,"9.OK?",
"100321","100321","9.OK?","St. Vincent's Med Ctr Clay County","ST VINCENTS MEDICAL CENTER - CLAY COUNTY","MIDDLEBURG","FL","32068",10085,"FL- ORANGE PARK",123,"FL- JACKSONVILLE","12019","FL-Clay County",64,"Ascension Healthcare",106,,,"4.Other acute care hosp",,"9.OK?",
"100322","100322","9.OK?","Regional General Hosp Williston","REGIONAL GENERAL HOSPITAL WILLISTON","WILLISTON","FL","32696",10040,"FL- GAINESVILLE",120,"FL- GAINESVILLE","12075","FL-Levy County",40,,20,,,"4.Other acute care hosp",,"9.OK?","noICUdays"
"100328","Closed","5.Closed","Miami Medical Center, The","MIAMI MEDICAL CENTER, THE","MIAMI","FL","33126",10074,"FL- MIAMI",127,"FL- MIAMI","12086","FL-Miami-Dade County",69,,,,,"4.Other acute care hosp",,"5.Closed","noICUdays"
"100329","100329","9.OK?","OVIEDO MEDICAL CENTER","OVIEDO MEDICAL CENTER","OVIEDO","FL","32765",10132,"FL- WINTER PARK",130,"FL- ORLANDO","12117","FL-Seminole County",64,,,,,"4.Other acute care hosp",,"9.OK?",
"101300","101300","9.OK?","Florida Hospital Wauchula","ADVENTHEALTH WAUCHULA","WAUCHULA","FL","33873",10005,"FL- AVON PARK",130,"FL- ORLANDO","12049","FL-Hardee County",25,"Adventist Health System Sunbelt Health Care Corporation",25,,,"3.Critical Access Hosp",,"9.OK?","noICUdays"
"101301","101301","9.OK?","Shands Live Oak Regional Med Ctr","SHANDS LIVE OAK REGIONAL MEDICAL CENTER","LIVE OAK","FL","32060",10040,"FL- GAINESVILLE",120,"FL- GAINESVILLE","12121","FL-Suwannee County",25,"Community Health Systems, Inc.",25,,,"3.Critical Access Hosp",,"9.OK?","noICUdays"
"101302","Closed","5.Closed","Campbellton Graceville Hospital","CAMPBELLTON-GRACEVILLE HOSPITAL","GRACEVILLE","FL","32440",10041,"FL- GRACEVILLE",2,"AL- DOTHAN","12063","FL-Jackson County",25,,,,,"3.Critical Access Hosp",,"5.Closed","noICUdays"
"101303","101303","9.OK?","Lake Butler Hosp Hand Surgery Ctr","LAKE BUTLER HOSPITAL","LAKE BUTLER","FL","32054",10040,"FL- GAINESVILLE",120,"FL- GAINESVILLE","12125","FL-Union County",25,,25,,,"3.Critical Access Hosp",,"9.OK?","noICUdays"
"101304","101304","9.OK?","Calhoun-Liberty Hospital","CALHOUN-LIBERTY HOSPITAL","BLOUNTSTOWN","FL","32424",10008,"FL- BLOUNTSTOWN",140,"FL- TALLAHASSEE","12013","FL-Calhoun County",25,"Alliant Management Services",25,,,"3.Critical Access Hosp",,"9.OK?","noICUdays"
"101305","101305","9.OK?","George E. Weems Memorial Hosp","GEORGE E WEEMS MEMORIAL HOSPITAL","APALACHICOLA","FL","32320",10001,"FL- APALACHICOLA",133,"FL- PANAMA CITY","12037","FL-Franklin County",25,,15,,,"3.Critical Access Hosp",,"9.OK?","noICUdays"
"101307","101307","9.OK?","Doctors Memorial Hospital","DOCTORS MEMORIAL HOSPITAL","BONIFAY","FL","32425",1026,"AL- DOTHAN",2,"AL- DOTHAN","12059","FL-Holmes County",20,,20,,,"3.Critical Access Hosp",,"9.OK?","noICUdays"
"101308","101308","9.OK?","Northwest Florida Community Hosp","NORTHWEST FLORIDA COMMUNITY HOSPITAL","CHIPLEY","FL","32428",10017,"FL- CHIPLEY",133,"FL- PANAMA CITY","12133","FL-Washington County",25,"Alliant Management Services",25,,,"3.Critical Access Hosp",,"9.OK?","noICUdays"
"101309","101309","9.OK?","Hendry Regional Medical Center","HENDRY REGIONAL MEDICAL CENTER","CLEWISTON","FL","33440",10020,"FL- CLEWISTON",119,"FL- FORT MYERS","12051","FL-Hendry County",25,"QHR",25,,,"3.Critical Access Hosp",,"9.OK?","noICUdays"
"101310","101310","9.OK?","Shands Starke Regional Med Ctr","SHANDS STARKE REGIONAL MEDICAL CENTER","STARKE","FL","32091",10040,"FL- GAINESVILLE",120,"FL- GAINESVILLE","12007","FL-Bradford County",25,"Community Health Systems, Inc.",49,,,"3.Critical Access Hosp",,"9.OK?","noICUdays"
"101311","101311","9.OK?","Madison County Memorial Hospital","MADISON COUNTY MEMORIAL HOSPITAL","MADISON","FL","32340",10069,"FL- MADISON",140,"FL- TALLAHASSEE","12079","FL-Madison County",25,,25,,,"3.Critical Access Hosp",,"9.OK?","noICUdays"
"101312","101312","9.OK?","Fishermen's Hospital","FISHERMEN'S COMMUNITY HOSPITAL","MARATHON","FL","33050",10070,"FL- MARATHON",127,"FL- MIAMI","12087","FL-Monroe County",25,,,,,"3.Critical Access Hosp",,"9.OK?",
"101313","101313","9.OK?","Mariners Hospital","MARINERS HOSPITAL","TAVERNIER","FL","33070",10123,"FL- TAVERNIER",127,"FL- MIAMI","12087","FL-Monroe County",25,"Baptist Health South Florida",25,,,"3.Critical Access Hosp",,"9.OK?",
"102001","102001","1.NonAcute","Select Specialty Hospital-Miami","SELECT SPECIALTY HOSPITAL-MIAMI","MIAMI","FL","33128",10074,"FL- MIAMI",127,"FL- MIAMI","12086","FL-Miami-Dade County",47,"Select Medical Corporation",47,,,"5.Longterm/non-acute",,"1.NonAcute",
"102003","102003","1.NonAcute","Select Specialty Hospital-Orlando","SELECT SPECIALTY HOSPITAL - ORLANDO","ORLANDO","FL","32809",10086,"FL- ORLANDO",130,"FL- ORLANDO","12095","FL-Orange County",75,"Select Medical Corporation",75,,,"5.Longterm/non-acute",,"1.NonAcute",
"102009","102009","1.NonAcute","Kindred Hospital Bay Area-Tampa","KINDRED HOSPITAL-BAY AREA-TAMPA","TAMPA","FL","33611",10121,"FL- TAMPA",141,"FL- TAMPA","12057","FL-Hillsborough County",155,"Kindred Healthcare",73,,,"5.Longterm/non-acute",,"1.NonAcute",
"102010","102010","1.NonAcute","Kindred Hosp South Fl-Ft Lauderdale","KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE","FORT LAUDERDALE","FL","33301",10036,"FL- FORT LAUDERDALE",118,"FL- FORT LAUDERDALE","12011","FL-Broward County",249,"Kindred Healthcare",123,,,"5.Longterm/non-acute",,"1.NonAcute",
"102012","102012","1.NonAcute","Specialty Hospital Jacksonville","CURAHEALTH JACKSONVILLE LLC","JACKSONVILLE","FL","32207",10050,"FL- JACKSONVILLE",123,"FL- JACKSONVILLE","12031","FL-Duval County",107,"Curae Health",62,,,"5.Longterm/non-acute",,"1.NonAcute","noICUdays"
"102013","102013","1.NonAcute","Kindred Hospital Central Tampa","KINDRED HOSPITAL-CENTRAL TAMPA","TAMPA","FL","33603",10121,"FL- TAMPA",141,"FL- TAMPA","12057","FL-Hillsborough County",102,"Kindred Healthcare",102,,,"5.Longterm/non-acute",,"1.NonAcute",
"102015","102015","1.NonAcute","Kindred Hospital North Florida","KINDRED HOSPITAL-NORTH FLORIDA","GREEN COVE SPRINGS","FL","32043",10085,"FL- ORANGE PARK",123,"FL- JACKSONVILLE","12019","FL-Clay County",80,"Kindred Healthcare",80,,,"5.Longterm/non-acute",,"1.NonAcute",
"102016","102016","1.NonAcute","Sister Emmanuel Hospital","SISTER EMMANUEL HOSPITAL","MIAMI","FL","33133",10074,"FL- MIAMI",127,"FL- MIAMI","12086","FL-Miami-Dade County",29,,29,,,"5.Longterm/non-acute",,"1.NonAcute",
"102017","102017","1.NonAcute","Select Specialty Hospital-Panama","SELECT SPECIALTY HOSPITAL - PANAMA CITY","PANAMA CITY","FL","32401",10091,"FL- PANAMA CITY",133,"FL- PANAMA CITY","12005","FL-Bay County",30,"Select Medical Corporation",30,,,"5.Longterm/non-acute",,"1.NonAcute",
"102018","102018","1.NonAcute","Complex Care Hospital At Ridgelake","COMPLEX CARE HOSPITAL AT RIDGELAKE","SARASOTA","FL","34240",10107,"FL- SARASOTA",137,"FL- SARASOTA","12115","FL-Sarasota County",40,"LifeCare Management Services",40,,,"5.Longterm/non-acute",,"1.NonAcute","noICUdays"
"102019","102019","1.NonAcute","Kindred Hospital Ocala","KINDRED HOSPITAL OCALA","OCALA","FL","34474",10083,"FL- OCALA",129,"FL- OCALA","12083","FL-Marion County",31,"Kindred Healthcare",31,,,"5.Longterm/non-acute",,"1.NonAcute",
"102020","102020","1.NonAcute","Select Specialty Hosp -Tallahassee","SELECT SPECIALTY HOSPITAL - TALLAHASSEE","TALLAHASSEE","FL","32308",10119,"FL- TALLAHASSEE",140,"FL- TALLAHASSEE","12073","FL-Leon County",29,"Select Medical Corporation",29,,,"5.Longterm/non-acute",,"1.NonAcute",
"102021","102021","1.NonAcute","Baycare Alliant Hospital","BAYCARE ALLIANT HOSPITAL","DUNEDIN","FL","34698",10032,"FL- DUNEDIN",116,"FL- CLEARWATER","12103","FL-Pinellas County",48,"Trinity Health",35,,,"5.Longterm/non-acute",,"1.NonAcute",
"102022","102022","1.NonAcute","Select Specialty Hosp -Gainesville","SELECT SPECIALTY HOSPITAL GAINESVILLE INC","GAINESVILLE","FL","32610",10040,"FL- GAINESVILLE",120,"FL- GAINESVILLE","12001","FL-Alachua County",44,"Select Medical Corporation",44,,,"5.Longterm/non-acute",,"1.NonAcute",
"102023","102023","1.NonAcute","Select Specialty Hosp-Palm Beach","SELECT SPECIALTY HOSPITAL-PALM BEACH","LAKE WORTH","FL","33461",10003,"FL- ATLANTIS",118,"FL- FORT LAUDERDALE","12099","FL-Palm Beach County",60,"Select Medical Corporation",60,,,"5.Longterm/non-acute",,"1.NonAcute",
"102024","102024","1.NonAcute","Select Specialty Hosp-Pensacola","SELECT SPECIALTY HOSPITAL PENSACOLA","PENSACOLA","FL","32504",10093,"FL- PENSACOLA",134,"FL- PENSACOLA","12033","FL-Escambia County",54,"Select Medical Corporation",75,,,"5.Longterm/non-acute",,"1.NonAcute",
"102025","102025","1.NonAcute","Kindred Hosp-The Palm Beaches","KINDRED HOSPITAL THE PALM BEACHES","RIVIERA BEACH","FL","33418",10090,"FL- PALM BEACH GARDENS",118,"FL- FORT LAUDERDALE","12099","FL-Palm Beach County",70,"Kindred Healthcare",70,,,"5.Longterm/non-acute",,"1.NonAcute",
"102026","102026","1.NonAcute","Florida Hospital At Connerton Ltac","ADVENTHEALTH CONNERTON","LAND O LAKES","FL","34637",10121,"FL- TAMPA",141,"FL- TAMPA","12101","FL-Pasco County",50,"Adventist Health System Sunbelt Health Care Corporation",50,,,"5.Longterm/non-acute",,"1.NonAcute",
"102027","102027","1.NonAcute","Kindred Hospital Melbourne","KINDRED HOSPITAL MELBOURNE","MELBOURNE","FL","32901",10073,"FL- MELBOURNE",130,"FL- ORLANDO","12009","FL-Brevard County",60,"Kindred Healthcare",60,,,"5.Longterm/non-acute",,"1.NonAcute",
"102028","102028","1.NonAcute","Promise Hosp Of Florida At Villages","PROMISE HOSPITAL OF FLORIDA AT THE VILLAGES","OXFORD","FL","34484",10083,"FL- OCALA",129,"FL- OCALA","12119","FL-Sumter County",40,"Promise Healthcare",40,,,"5.Longterm/non-acute",,"1.NonAcute",
"102029","102029","1.NonAcute","Promise Hospital Of Fort Myers","PROMISE HOSPITAL OF FORT MYERS","FORT MYERS","FL","33905",10037,"FL- FORT MYERS",119,"FL- FORT MYERS","12071","FL-Lee County",60,"Promise Healthcare",60,,,"5.Longterm/non-acute",,"1.NonAcute",
"102030","102030","1.NonAcute","Select Specialty Hospital Daytona B","SELECT SPECIALTY HOSPITAL DAYTONA BEACH","DAYTONA BEACH","FL","32117",10027,"FL- DAYTONA BEACH",131,"FL- ORMOND BEACH","12127","FL-Volusia County",34,"Select Medical Corporation",34,,,"5.Longterm/non-acute",,"1.NonAcute",
"102031","102031","1.NonAcute","Promise Hospital Of Miami","PROMISE HOSPITAL OF MIAMI","MIAMI LAKES","FL","33016",10045,"FL- HIALEAH",127,"FL- MIAMI","12086","FL-Miami-Dade County",90,,,,,"5.Longterm/non-acute",,"1.NonAcute",
"102032","102032","1.NonAcute","Landmark Hospital Of Southwest Flor","LANDMARK HOSPITAL OF SOUTHWEST FLORIDA","NAPLES","FL","34108",10077,"FL- NAPLES",119,"FL- FORT MYERS","12021","FL-Collier County",50,,,,,"5.Longterm/non-acute",,"1.NonAcute",
"110001","110001","9.OK?","Hamilton Medical Center","HAMILTON MEDICAL CENTER","DALTON","GA","30720",11041,"GA- DALTON",144,"GA- ATLANTA","13313","GA-Whitfield County",255,,227,,,"4.Other acute care hosp",,"9.OK?",
"110002","110002","9.OK?","Upson Regional Medical Center","UPSON REGIONAL MEDICAL CENTER","THOMASTON","GA","30286",11114,"GA- THOMASTON",147,"GA- MACON","13293","GA-Upson County",101,"HealthTech Management Services",81,,,"4.Other acute care hosp",,"9.OK?",
"110003","110003","9.OK?","Mayo Clinic Hlth System In Waycross","MEMORIAL SATILLA HEALTH","WAYCROSS","GA","31501",11126,"GA- WAYCROSS",123,"FL- JACKSONVILLE","13299","GA-Ware County",202,"HCA Healthcare",199,,,"4.Other acute care hosp",,"9.OK?",
"110005","110005","9.OK?","Northside Hospital-Forsyth","NORTHSIDE HOSPITAL FORSYTH","CUMMING","GA","30041",11099,"GA- ROSWELL",144,"GA- ATLANTA","13117","GA-Forsyth County",78,"Northside Healthcare System",289,,,"4.Other acute care hosp",,"9.OK?",
"110006","110006","9.OK?","St. Mary's Health Care System","ST MARY'S HOSPITAL","ATHENS","GA","30606",11006,"GA- ATHENS",144,"GA- ATLANTA","13059","GA-Clarke County",176,"Trinity Health",174,,,"4.Other acute care hosp",,"9.OK?",
"110007","110007","9.OK?","Phoebe Putney Memorial Hospital","PHOEBE PUTNEY MEMORIAL HOSPITAL","ALBANY","GA","31703",11002,"GA- ALBANY",142,"GA- ALBANY","13095","GA-Dougherty County",635,"Phoebe Putney Health System",449,,,"4.Other acute care hosp",,"9.OK?",
"110008","110008","9.OK?","Northside Hospital-Cherokee","NORTHSIDE HOSPITAL CHEROKEE","CANTON","GA","30115",11023,"GA- CANTON",144,"GA- ATLANTA","13057","GA-Cherokee County",84,"Northside Healthcare System",109,,,"4.Other acute care hosp",,"9.OK?",
"110010","110010","9.OK?","Emory University Hospital","EMORY UNIVERSITY HOSPITAL","ATLANTA","GA","30322",11007,"GA- ATLANTA",144,"GA- ATLANTA","13089","GA-DeKalb County",587,"Emory Healthcare",563,"Integrated","Major Teaching","1.Integrated AMC","1.NCI-CCC","9.OK?",
"110011","110011","9.OK?","Tanner Medical Center-Carrollton","TANNER MEDICAL CENTER - CARROLLTON","CARROLLTON","GA","30117",11024,"GA- CARROLLTON",144,"GA- ATLANTA","13045","GA-Carroll County",147,"Tanner Health System",142,,,"4.Other acute care hosp",,"9.OK?",
"110015","110015","9.OK?","Tanner Medical Center-Villa Rica","TANNER MEDICAL CENTER VILLA RICA","VILLA RICA","GA","30180",11122,"GA- VILLA RICA",144,"GA- ATLANTA","13045","GA-Carroll County",28,"Tanner Health System",118,,,"4.Other acute care hosp",,"9.OK?",
"110016","110016","9.OK?","West Georgia Health","WELLSTAR WEST GEORGIA MEDICAL CENTER","LAGRANGE","GA","30240",11073,"GA- LA GRANGE",144,"GA- ATLANTA","13285","GA-Troup County",276,"WellStar Health System",130,,,"4.Other acute care hosp",,"9.OK?",
